dataset,category,image,method,cvd_type,delta_e2000,ssim,ssim_rgb,avg_gradient,entropy
primary27,maps,citymap_03,M4_jet,protan,47.80059,-0.10155,-0.01181,0.11767,3.17409
primary27,maps,citymap_03,M5_hot,protan,22.05750,0.92434,0.66220,0.09835,2.36384
primary27,maps,citymap_03,M5b_turbo,protan,50.97512,-0.12346,-0.01091,0.12688,4.10693
primary27,maps,citymap_03,M6_viridis,protan,28.21299,0.96884,0.54032,0.10544,4.11123
primary27,maps,citymap_03,M6b_cividis,protan,24.93671,0.96923,0.65783,0.12000,4.10521
primary27,maps,citymap_03,DE_Cividis,protan,24.70419,0.99778,0.62170,0.12320,9.23627
primary27,maps,citymap_03,M1_intensity_slicing,deutan,54.65946,-0.07944,0.16375,0.12886,2.79593
primary27,maps,citymap_03,M2_sin_three_phase,deutan,31.11523,0.90848,0.36581,0.07367,4.10793
primary27,maps,citymap_03,M4_jet,deutan,47.80059,-0.10155,-0.01181,0.11730,3.17409
primary27,maps,citymap_03,M5_hot,deutan,22.05750,0.92434,0.66220,0.10254,2.36384
primary27,maps,citymap_03,M5b_turbo,deutan,50.97512,-0.12346,-0.01091,0.13558,4.10693
primary27,maps,citymap_03,M6_viridis,deutan,28.21299,0.96884,0.54032,0.11795,4.11123
primary27,maps,citymap_03,M6b_cividis,deutan,24.93671,0.96923,0.65783,0.11990,4.10521
primary27,maps,citymap_03,DE_Cividis,deutan,24.70419,0.99778,0.62170,0.12049,9.23627
primary27,maps,global,M1_intensity_slicing,protan,54.33658,0.26440,0.38913,0.03667,1.75121
primary27,maps,global,M2_sin_three_phase,protan,30.72230,0.94856,0.52539,0.03740,5.10130
